date,price
3/1/2008,403.8128967
4/1/2008,326.8516167
5/1/2008,288.4202863
6/1/2008,314.15835
7/1/2008,299.42748
8/1/2008,304.1640727
9/1/2008,263.0496594
10/1/2008,202.774935
11/1/2008,194.1146296
12/1/2008,188.8449497
1/1/2009,211.2760833
2/1/2009,195.2249026
3/1/2009,199.1005683
4/1/2009,200.8876467
5/1/2009,227.186091
6/1/2009,227.3146938
7/1/2009,195.3259917
8/1/2009,179.5540511
9/1/2009,156.9304506
10/1/2009,163.7264383
11/1/2009,177.6072814
12/1/2009,171.1554987
1/1/2010,167.8218628
2/1/2010,160.1615604
3/1/2010,156.464118
4/1/2010,156.8254687
5/1/2010,158.3284597
6/1/2010,149.21269
7/1/2010,182.7385022
8/1/2010,219.8774417
9/1/2010,240.4321828
10/1/2010,234.5995632
11/1/2010,241.8401333
12/1/2010,274.4568182
1/1/2011,295.9886068
2/1/2011,317.6006514
3/1/2011,285.3758111
4/1/2011,307.2544084
5/1/2011,307.1945503
6/1/2011,285.29787
7/1/2011,271.4622093
8/1/2011,288.6883083
9/1/2011,272.3405579
10/1/2011,251.5891348
11/1/2011,244.5378502
12/1/2011,236.0596865
1/1/2012,243.7023692
2/1/2012,245.9804765
3/1/2012,243.4935983
4/1/2012,228.0863108
5/1/2012,228.87964
6/1/2012,241.9657935
7/1/2012,310.7464381
8/1/2012,315.5482191
9/1/2012,316.6530516
10/1/2012,318.4078349
11/1/2012,319.4599362
12/1/2012,303.0385561
1/1/2013,288.2103225
2/1/2013,271.6785887
3/1/2013,263.341859
4/1/2013,264.1702617
5/1/2013,276.0451467
6/1/2013,266.8508792
7/1/2013,257.4728933
8/1/2013,258.9259383
9/1/2013,257.499616
10/1/2013,278.1495567
11/1/2013,259.7777233
12/1/2013,246.1125787
1/1/2014,229.9803594
2/1/2014,242.7982816
3/1/2014,275.612494
4/1/2014,276.3823613
5/1/2014,287.9128738
6/1/2014,261.6499006
7/1/2014,238.549905
8/1/2014,229.1580011
9/1/2014,211.1711014
10/1/2014,210.7249283
11/1/2014,215.9879182
12/1/2014,234.8588367
1/1/2015,213.0214075
2/1/2015,201.7420688
3/1/2015,202.6914267
4/1/2015,195.9312283
5/1/2015,193.2165712
6/1/2015,199.8354417
7/1/2015,199.21748
8/1/2015,173.5175916
9/1/2015,164.0692202
10/1/2015,165.4514819
11/1/2015,157.8043789
12/1/2015,163.893455
1/1/2016,164.6116267
2/1/2016,159.283795
3/1/2016,164.0604717
4/1/2016,163.3868378
5/1/2016,157.5603421
6/1/2016,156.6950367
7/1/2016,133.710203
8/1/2016,127.899911
9/1/2016,123.2487562
10/1/2016,122.5585002
11/1/2016,122.5497977
12/1/2016,122.8463256
1/1/2017,137.1457358
2/1/2017,147.3614421
3/1/2017,146.4314994
4/1/2017,138.4075907
5/1/2017,146.4402133
6/1/2017,157.2461917
7/1/2017,174.5324167
8/1/2017,139.0508151
9/1/2017,138.4133923
10/1/2017,133.344516
11/1/2017,138.0459557
12/1/2017,147.1032695
1/1/2018,156.3880441
2/1/2018,172.2891191
3/1/2018,180.9188159
4/1/2018,180.3764094
5/1/2018,192.70383
6/1/2018,193.0792198
7/1/2018,196.8060775
8/1/2018,211.2920588
9/1/2018,191.1444218
10/1/2018,188.4616067
11/1/2018,181.5523909
12/1/2018,188.5358363
1/1/2019,188.8449497
2/1/2019,177.9167018
3/1/2019,164.5066448
4/1/2019,159.0300887
5/1/2019,158.281695
6/1/2019,174.6977632
7/1/2019,163.8767533
8/1/2019,149.363005
9/1/2019,146.5704863
10/1/2019,153.22109
11/1/2019,157.5282643
12/1/2019,165.2546408
1/1/2020,178.2417773
2/1/2020,172.2311028
3/1/2020,170.8747517
4/1/2020,179.7465179
5/1/2020,174.9549688
6/1/2020,169.7223367
7/1/2020,170.5741217
8/1/2020,174.182477
9/1/2020,204.1373138
10/1/2020,203.4263
11/1/2020,210.7539365
12/1/2020,217.3125429
1/1/2021,237.9442498
2/1/2021,240.8063881
3/1/2021,229.8875493
4/1/2021,239.9361433
5/1/2021,278.4470054
6/1/2021,238.7670267
7/1/2021,243.628007
8/1/2021,274.87603
9/1/2021,269.7335073
10/1/2021,294.0368183
11/1/2021,317.4373548
